"","id"
"5702046",1.129956e+18
"5702047",1.178856e+18
"5702048",1.11236e+18
"5702049",1.105456e+18
"5702051",1.105458e+18
"5702053",1.137346e+18
"5702055",1.091384e+18
"5702056",1.093994e+18
"5702057",1.086062e+18
"5702059",1.080304e+18
"5702061",1.096607e+18
"5702063",1.116588e+18
"5702064",1.116864e+18
"5702068",1.137902e+18
"5702070",1.172512e+18
"5702071",1.138948e+18
"5702072",1.154089e+18
"5702073",1.154058e+18
"5702074",1.115629e+18
"5702075",1.188292e+18
"5702076",1.15419e+18
"5702077",1.131411e+18
"5702078",1.095006e+18
"5702081",1.163745e+18
"5702084",1.094127e+18
"5702087",1.11559e+18
"5702090",1.094578e+18
"5702093",1.192726e+18
"5702099",1.085608e+18
"5702102",1.177111e+18
"5702105",1.09422e+18
"5702106",1.095377e+18
"5702107",1.116659e+18
"5702108",1.126928e+18
"5702109",1.094278e+18
"5702110",1.145882e+18
"5702111",1.093931e+18
"5702112",1.093869e+18
"5702113",1.134125e+18
"5702114",1.141834e+18
"5702115",1.182608e+18
"5702116",1.093912e+18
"5702118",1.204667e+18
"5702120",1.153788e+18
"5702122",1.19417e+18
"5702126",1.093956e+18
"5702127",1.093913e+18
"5702128",1.095245e+18
"5702129",1.153269e+18
"5702130",1.171367e+18
"5702131",1.09392e+18
"5702132",1.086952e+18
"5702133",1.156594e+18
"5702134",1.138451e+18
"5702135",1.160676e+18
"5702136",1.10697e+18
"5702137",1.193272e+18
"5702138",1.185187e+18
"5702139",1.136638e+18
"5702141",1.094261e+18
"5702143",1.200081e+18
"5702145",1.081172e+18
"5702146",1.098467e+18
"5702147",1.142286e+18
"5702148",1.094306e+18
"5702150",1.153742e+18
"5702152",1.18084e+18
"5702154",1.176853e+18
"5702156",1.096116e+18
"5702158",1.094046e+18
"5702160",1.182594e+18
"5702162",1.105226e+18
"5702164",1.094e+18
"5702166",1.143691e+18
"5702167",1.094263e+18
"5702168",1.098489e+18
"5702169",1.116487e+18
"5702170",1.1415e+18
"5702171",1.115982e+18
"5702173",1.18686e+18
"5702175",1.195169e+18
"5702178",1.123422e+18
"5702179",1.1041e+18
"5702180",1.19475e+18
"5702181",1.082255e+18
"5702183",1.101375e+18
"5702185",1.20902e+18
"5702187",1.0865e+18
"5702188",1.09324e+18
"5702189",1.091646e+18
"5702190",1.093137e+18
"5702191",1.144542e+18
"5702195",1.166365e+18
"5702197",1.093909e+18
"5702198",1.104053e+18
"5702250",1.092327e+18
"5702302",1.091352e+18
"5702354",1.14578e+18
"5702406",1.094548e+18
"5702458",1.152395e+18
"5702510",1.09238e+18
"5702562",1.172206e+18
"5702614",1.09391e+18
"5702615",1.147969e+18
"5702616",1.094135e+18
"5702617",1.092372e+18
"5702657",1.152394e+18
"5702658",1.091353e+18
"5702661",1.13115e+18
"5702664",1.14577e+18
"5702667",1.099636e+18
"5702670",1.104354e+18
"5702673",1.104054e+18
"5702676",1.123899e+18
"5702677",1.155612e+18
"5702678",1.154465e+18
"5702679",1.154145e+18
"5702680",1.107437e+18
"5702687",1.203926e+18
"5702694",1.168633e+18
"5702701",1.14835e+18
"5702708",1.206432e+18
"5702715",1.203883e+18
"5702722",1.197027e+18
"5702729",1.093925e+18
"5702730",1.085277e+18
"5702731",1.094651e+18
"5702732",1.170898e+18
"5702736",1.170897e+18
"5702749",1.093927e+18
"5702750",1.10412e+18
"5702751",1.094241e+18
"5702752",1.08734e+18
"5702753",1.088727e+18
"5702754",1.116618e+18
"5702755",1.149154e+18
"5702756",1.094376e+18
"5702757",1.093942e+18
"5702758",1.093282e+18
"5702759",1.170822e+18
"5702760",1.182408e+18
"5702761",1.182406e+18
"5702762",1.133749e+18
"5702763",1.12898e+18
"5702764",1.154037e+18
"5702765",1.093037e+18
"5702795",1.093077e+18
"5702825",1.093919e+18
"5702826",1.104112e+18
"5702827",1.094352e+18
"5702828",1.094287e+18
"5702829",1.09545e+18
"5702830",1.093816e+18
"5702831",1.093901e+18
"5702832",1.088666e+18
"5702833",1.13737e+18
"5702834",1.097474e+18
"5702835",1.094236e+18
"5702836",1.09141e+18
"5702837",1.116469e+18
"5702838",1.08091e+18
"5702839",1.080967e+18
"5702840",1.081044e+18
"5702841",1.08109e+18
"5702842",1.091401e+18
"5702889",1.196551e+18
"5702936",1.104083e+18
"5702983",1.136102e+18
"5702985",1.094245e+18
"5702986",1.113454e+18
"5702987",1.135786e+18
"5702988",1.09396e+18
"5702989",1.093959e+18
"5702990",1.093957e+18
"5702991",1.116251e+18
"5702992",1.121464e+18
"5702993",1.087881e+18
"5702995",1.136254e+18
"5702997",1.101753e+18
"5702998",1.141731e+18
"5702999",1.137955e+18
"5703000",1.108466e+18
"5703001",1.094218e+18
"5703002",1.094202e+18
"5703003",1.094313e+18
"5703004",1.093952e+18
"5703005",1.110565e+18
"5703011",1.19503e+18
"5703017",1.162327e+18
"5703023",1.100766e+18
"5703029",1.104078e+18
"5703035",1.092386e+18
"5703036",1.079893e+18
"5703037",1.196424e+18
"5703039",1.100673e+18
"5703041",1.093115e+18
"5703043",1.093967e+18
"5703061",1.152493e+18
"5703079",1.184823e+18
"5703097",1.17713e+18
"5703115",1.153935e+18
"5703133",1.094602e+18
"5703151",1.091789e+18
"5703169",1.104117e+18
"5703187",1.081388e+18
"5703205",1.137243e+18
"5703223",1.091423e+18
"5703241",1.09466e+18
"5703259",1.099999e+18
"5703277",1.09388e+18
"5703295",1.099623e+18
"5703313",1.09336e+18
"5703331",1.154038e+18
"5703332",1.184922e+18
"5703333",1.15798e+18
